2022-06-29 18:26:19,688 INFO    MainThread:2960 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\.config\wandb\settings
2022-06-29 18:26:28,310 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,318 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,325 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,332 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,340 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,348 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,356 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,366 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,377 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,386 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,393 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,401 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,408 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,415 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,426 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,437 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,447 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,455 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,465 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,476 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,484 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,492 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,500 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,509 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,520 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,531 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,539 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,549 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,559 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,567 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,576 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,586 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,597 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,609 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,617 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,626 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,634 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,642 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,650 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,659 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,669 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,678 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,688 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,699 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,711 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,718 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,726 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,734 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,742 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,750 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,759 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,768 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,777 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,786 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,796 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,805 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,815 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,826 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,834 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,844 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,855 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,863 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,872 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,882 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,890 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,902 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,911 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,919 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,926 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,934 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,943 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,955 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,967 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,979 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:28,991 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,003 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,012 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,023 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,031 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,039 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,047 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,056 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,068 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,077 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,086 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,094 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,106 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,116 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,124 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,133 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,141 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,150 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,158 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,166 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,175 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,184 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,193 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,203 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,214 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,226 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:29,876 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
