2022-07-11 13:44:55,675 INFO    MainThread:15128 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\.config\wandb\settings
2022-07-11 13:45:09,495 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,507 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,518 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,530 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,543 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,553 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,566 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,576 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,588 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,601 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,610 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,624 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,637 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,648 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,661 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,675 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,689 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,701 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,715 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,731 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,747 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,761 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,776 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,792 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
